part	groupCount	sourceText
6	1	Makaron z kurkami w sosie serowym
6	1	Makaron z malinami w sosie truskawkowym
6	1	Makaron z rzeżuchą i oliwkami
6	1	Makaron z szynką włoską
6	1	Makaron z tuńczykiem i oliwkami
6	2	Makaron z warzywami
6	1	Makaron z warzywami i serem owczym
6	1	Makaron z wędzonym tofu
6	1	Makaronowe wstążki z przegrzebkami
6	1	Makrela w sosie miso
6	15	Marchew
7	1	Marchewkowa owsianka z cynamonem
7	1	Marchewkowa owsianka z orzechami
7	1	Marmolada z pomarańczy
7	1	Marokańska zupa harira
7	1	Marokański tadżin z kurczakiem
7	1	Masło daktylowe
7	1	Mazowiecka zalewajka z suszonymi grzybami
7	1	Małże z kiełbaską chorizo
7	1	Medaliony z łososia z cytrynowym ranchem z kiszonego ogórka
7	1	Miecznik z muszlami świętego Jakuba
7	1	Mini cynamonki z ciasta francuskiego
7	1	Mini dutch baby
7	1	Mini keto serniczki
7	1	Mini marchewki w śmietanowym sosie
7	1	Mini paszteciki z mieloną wołowiną
7	1	Mini pizzerinki z kiełbasą
7	1	Mini pizzerki z kalafiora
7	1	Mini serniczki cytrynowo-pistacjowe
7	1	Mini serniczki jogurtowe z porzeczką
7	1	Mini serniczki z borówkami
7	1	Mini serniczki z czekoladą
7	1	Miodowa szynka gotowana
7	1	Miód jalapeno-chili
7	1	Mięso faszerowane serem
7	1	Miętowy sernik czekoladowy
7	1	Mleczny ryż z karmelizowanym bananem
7	1	Mocno pomidorowy makaron wg Pati
7	1	Morszczuk w sosie curry
7	1	Mostek wołowy Montreal
7	1	Moudardara
7	1	Mrożona herbata brzoskwiniowa
7	1	Mrożona herbata Mohito
7	1	Muffinki z jajka warzyw i fety
7	1	Muffinki z szynką i suszonymi pomidorami
7	1	Muffiny borówkowe
7	1	Muffiny jajeczno-warzywne
7	1	Muffiny marchewkowe
7	1	Muhlama (owsianka kukurydziana)
7	6	Mule
7	1	Mule po marynarsku
7	1	Mus czekoladowy z malinami
7	1	Musaka z wołowiną
7	1	Młoda kapusta
7	1	Młoda kapustka z kiełbasą
7	1	Młoda kapustka zasmażana Pati Sołtysik
7	1	Młode ziemniaczki po cesarsku
7	1	Nachos
7	1	Najlepsza grochówka w mieście
7	1	Naleśniki orkiszowe z boczniakami i szpinakiem
7	1	Nektarynki z miodem i ricottą
7	1	Nuggetsy z boczniaków
7	1	Nuggetsy z kurczaka
7	1	Nuggetsy z łososia
7	1	Ogórkowa z sezonowych małosolnych z pieczonym indykiem
7	1	Okonomiyaki
7	1	Omlet brzoskwiniowy z owocami
7	1	Omlet dyniowy z brzoskwinią
7	1	Omlet hiszpański (Tortilla de Patatas) z warzywami
7	1	Omlet jabłkowo-kokosowy bez mąki
7	1	Omlet jabłkowy
7	1	Omlet orkiszowy z pomarańczą
7	1	Omlet z pieczarkami
7	1	Omlet z serka wiejskiego
7	1	Orientalne pikle z ogórka
7	1	Orzechowy makaron z kurczakiem
7	1	ORZO Z KURCZAKIEM
7	1	Orzo z pesto, pieczarkami, szpinakiem i suszonymi pomidorami wg Elżbiety Bogusz
7	1	Ostry kurczak z kalafiorem
7	1	Owsianka szarlotkowa
7	1	Owsianka truskawkowo-kokosowa
7	1	Owsianka z bananami i kakao
7	1	Ośmiornica po cypryjsku
7	1	Ośmiornica po galicyjsku
7	1	Pad Thai
7	1	Paella kalafiorowa z szafranem
7	1	Paella z kurczakiem i krewetkami
7	1	Paluszki z sera feta
7	1	Panierowane krewetki
7	1	Panierowany dorsz z komosą
7	1	Panna cotta eyeballs
7	1	Panna cotta z grejpfrutem
7	1	Panna cotta z morelami i marakują
7	1	Panna cotta z truskawkami
7	1	Pannacotta z koziego sera
7	8	Papryka
7	1	Papryka faszerowana ryżem z kalafiora
7	1	Papryka nadziewana komosą ryżową
7	1	Parówki w cieście
7	1	Pasta jajeczna z kurkami
7	1	Pasta jajeczna z tuńczykiem
7	1	Pasta rybna
7	1	Pasta z szynką i musztardą
7	1	Pasztet wieprzowy z suszonymi śliwkami
7	1	Pasztet z ricotty i papryki
7	1	Pasztet ze świeżego tuńczyka
7	1	Pavlova z kandyzowaną pigwą
7	1	Peklowana wołowina
7	1	Penne z cukinią i boczkiem
7	2	Peperonata
7	1	Perski gulasz z jagnięciny
8	1	Pełnoziarnisty ryż z dynią
8	1	Pho Bò
8	1	Pieczarki faszerowane kurkami i boczkiem
8	1	Pieczarki po grecku
8	1	Pieczeń cielęca z marchwią i śliwkami
8	1	Pieczeń wieprzowa z ananasem
8	1	Pieczeń wołowa w sosie musztardowym
8	1	Pieczona biała kiełbasa
8	1	Pieczona cielęcina z warzywami
8	1	Pieczona dynia z fetą
8	1	Pieczona pierś z kurczaka z warzywami
8	1	Pieczona wołowina z ananasem
8	1	Pieczone gruszki z serem, miodem i orzechami
8	1	Pieczone gruszki z twarożkiem
8	1	Pieczone jabłka z cynamonem
8	1	Pieczone pomidory z sosem z fety
8	1	Pieczone pory z cebulą i boczkiem
8	1	Pieczone przegrzebki z winem Chablis
8	1	Pieczone ziemniaki we włoskiej szynce i rozmarynie z majonezem kaparowym
8	1	Pieczony bób
8	1	Pieczony kalafior z ciecierzycą
8	1	Pieczony kurczak z warzywami
8	1	Pieczony schab w sosie musztardowo-miodowym
8	1	Pieczony łosoś z batatami i mizerią
8	1	Pierogi w sosie pomidorowym
8	1	Pierożki wonton z krewetkami i imbirem
